扰动类型,扰动幅度_百分比,样本序号,重优化成本_元,成本变化率_百分比,同情景无储能成本_元,同情景节费率_百分比,购电总量变化率_百分比,电池调度相对变化_百分比,全冻结缺电量_千瓦时,全冻结富余量_千瓦时,固定电池可行,固定电池补救成本_元,固定电池后悔率_百分比,固定电池不可吸收电量_千瓦时,独立回代最大违反量_千瓦时
逐时段独立,10.0,30,34717.4161469434,-1.1658640123227644,48098.80022301061,27.82061925458489,-0.9555693613884753,10.316695388899804,2558.991005288089,3209.9897275339968,False,,,241.52322075700286,3.183231456205249e-12
逐时段独立,10.0,31,35850.98229287924,2.061191542280032,49206.459767871456,27.141715819418597,1.7035190288916313,9.886754980651045,3609.5184544734566,2798.8698249063477,False,,,183.118193631927,1.8189894035458565e-12
逐时段独立,10.0,32,35274.81321988184,0.4209435390445573,47967.65116844491,26.461245525636524,0.2720204885857669,9.00425844980621,3270.289155342597,3036.9990164728993,False,,,205.5606695227439,4.547473508864641e-12
逐时段独立,10.0,33,35123.91950071383,-0.008623289800520224,48093.27255192856,26.96708367518785,0.6189318277766365,11.25702545003774,3565.722404344161,3233.5720686208706,False,,,183.8129354514002,4.320099833421409e-12
逐时段独立,10.0,34,34919.92271663772,-0.5893648349976509,47993.47177937713,27.24026534866589,-1.0414075609075257,10.436671164228779,2750.842478771173,3327.76762871964,False,,,170.6935537320062,2.0463630789890885e-12
逐时段独立,10.0,35,34878.07403534121,-0.7085003789752795,47829.30012506082,27.078017148182433,-0.3109416087023309,10.028278854729928,2863.6305951846953,3045.0317934482546,False,,,206.1722579181523,2.9558577807620168e-12
逐时段独立,10.0,36,35525.628726356794,1.1349694265081325,48745.96611335776,27.12088494924347,0.4353527950835545,12.129503201880572,3553.188975220436,3337.49803642535,False,,,103.02060797789049,1.1084466677857563e-12
逐时段独立,10.0,37,35294.016166694695,0.4756108175261313,48223.06318582201,26.810920263000966,-0.05409277159825754,10.628476514176882,3219.7696392184575,3181.7081074299613,False,,,170.09026274858542,9.094947017729282e-13
逐时段独立,10.0,38,35148.66904711856,0.061834143570805265,48313.085540928034,27.248138566222085,-0.6365421976732843,12.559821897423339,2991.5533461544383,3283.3834825009867,False,,,201.26084728792102,5.4569682106375694e-12
逐时段独立,10.0,39,34733.41596456244,-1.1203154569911875,47635.180764227494,27.08452994756739,-0.8446493035319635,10.51750749035691,2998.4643411165785,3458.8394754639157,False,,,341.44549566581054,4.320099833421409e-12
逐时段独立,10.0,40,35641.64201347065,1.4652380428837715,48775.61043278361,26.927327618815834,0.9373178130364979,9.680577088172925,3359.91112911966,2890.141441378979,False,,,154.74344015760602,4.320099833421409e-12
逐时段独立,10.0,41,34551.82724453319,-1.6372653409697844,47618.11269814572,27.439738186266545,-1.70343918407736,11.663853326078419,3010.3969965231154,3952.117780664291,False,,,210.11593351626027,4.092726157978177e-12
逐时段独立,10.0,42,34812.840543270155,-0.8942082035153694,48076.38190841431,27.58847658380627,-0.9723057254481748,11.43830511309775,3073.2176958695386,3726.5957768120707,False,,,280.34058574412325,1.2960299500264227e-11
逐时段独立,10.0,43,34616.79543060238,-1.452312794108067,47921.627430495086,27.763731561892097,-2.283613061396206,12.68499445817973,2940.0803863638594,4283.426494354999,False,,,150.89196307597084,9.322320693172514e-12
逐时段独立,10.0,44,34612.503544365,-1.4645310094912023,47659.240146467484,27.375041150481945,-0.03569593707151153,11.968640510079029,3423.234323770521,3572.297348142177,False,,,395.1542687885156,1.0913936421275139e-11
逐时段独立,10.0,45,35137.69410191718,0.03059048125736316,48203.36821826249,27.105313589674022,0.9637176797900882,10.671122929623165,3439.021153781997,2975.753432684131,False,,,359.67430530603906,9.094947017729282e-13
逐时段独立,10.0,46,35958.180738299554,2.366365916072579,49033.51477392503,26.666116218490334,2.3929977224568244,13.363009494674115,3728.979422206958,2445.5070244182007,False,,,191.86698191600732,1.3642420526593924e-12
逐时段独立,10.0,47,35706.998247080686,1.6512952901430977,48907.16199164564,26.990246841188245,1.7720763315265398,11.371303626881977,3712.508327918218,2834.6431621197853,False,,,292.1399254366201,7.503331289626658e-12
逐时段独立,10.0,48,35086.14725552791,-0.11615396551280377,47646.74973557454,26.361929302112493,0.31239638937190506,11.676708064106299,3413.3360902431887,3180.355195226309,False,,,272.3052527924765,1.0913936421275139e-11
逐时段独立,10.0,49,35405.23910904418,0.7922421982311882,48436.57998445272,26.903924429824254,1.0699624608544678,11.519360367459594,3386.867806231703,2855.194757745685,False,,,284.1396800630588,1.1596057447604835e-11
逐时段独立,10.0,50,34985.206051931644,-0.4035151159154556,47942.890056415476,27.0273318718088,-0.16740605237705042,10.81672142663853,3429.751591447236,3546.2778411797153,False,,,323.5929155746436,8.881784197001252e-13
逐时段独立,10.0,51,34445.282323248786,-1.9405792510386992,47545.70082814271,27.553318757980474,-2.041932676750491,12.667575915527854,2797.280666105243,3988.8983600219585,False,,,173.1748713815075,5.6843418860808015e-12
逐时段独立,10.0,52,34580.63411463289,-1.555257448885798,47789.93879380976,27.640346509269584,-0.5145267081098193,13.830338719295483,3416.4771156130764,3809.501148125127,False,,,357.4499732039767,3.637978807091713e-12
逐时段独立,10.0,53,35247.502212562365,0.3431940947901567,48356.435922052995,27.1089741407354,-0.09964987388887403,11.552901088656887,3482.2649234731316,3540.812423445427,False,,,175.98548574001205,5.6843418860808015e-12
逐时段独立,10.0,54,35660.55740128598,1.5190866934771017,48723.606724337165,26.810513837692287,1.1120537814143239,11.785217899233505,3717.3563723169586,3147.321116418083,False,,,152.3381729366982,1.2960299500264227e-11
逐时段独立,10.0,55,35041.20646756715,-0.24409217179830356,48256.67726011894,27.385786885649352,-1.1532633993247887,13.677274903503347,2979.1400220826617,3639.202573986998,False,,,178.09607971690025,1.2050804798491299e-11
逐时段独立,10.0,56,35480.770301728066,1.007265693569498,48669.75758350948,27.098937690723513,0.4179391686127465,10.999676891366457,3033.335947679705,2848.1094803131928,False,,,149.4954222822866,5.4569682106375694e-12
逐时段独立,10.0,57,34348.782663792736,-2.2152961373725217,47460.5595960863,27.626680013639763,-1.6595060756643631,10.147338003005697,2657.275106795892,3671.0912637087913,False,,,226.95336319455103,1.1823431123048067e-11
逐时段独立,10.0,58,35139.59080861724,0.03599005843584155,48085.264608699654,26.92233037590535,0.49079338919801874,11.762280622069087,3626.737079316298,3390.1711279615865,False,,,258.23522049990436,9.777068044058979e-12
逐时段独立,10.0,59,34605.67740543149,-1.4839637789337703,47899.34297247582,27.753335937578953,-1.2228894350563957,11.040171936398343,2802.8889945138053,3564.5412298256797,False,,,201.29273143473984,1.2732925824820995e-11
逐时段独立,10.0,60,34921.996427935264,-0.5834613580939113,47814.78820865853,26.964025699456258,-0.6825125977822921,12.386458818112313,2966.298638295958,3336.210204843678,False,,,183.52282939739945,2.7284841053187847e-12
逐时段独立,10.0,61,35937.886806632676,2.3085928031888474,48897.93058579721,26.504278655360682,2.176991918844595,10.427258581088342,3853.2169799032336,2640.584005368526,False,,,139.48185297904178,9.094947017729282e-13
逐时段独立,10.0,62,35813.793620459306,1.9553221915312233,48316.35567842251,25.87645918739416,2.1301554916275833,10.658501782001364,3885.2380902857503,2609.5293204783684,False,,,183.29584411756724,1.318767317570746e-11
逐时段独立,10.0,63,35793.54596132847,1.8976808080970633,49391.98102628994,27.53166563155953,1.0998390569269878,10.049955417023048,3398.883240535469,2840.528242967063,False,,,162.2578720819428,5.002220859751105e-12
逐时段独立,10.0,64,35573.38591573971,1.2709254126875902,48432.60952102976,26.550755229710447,0.5650386681269159,6.72995188893376,3177.073287641145,2817.0366475774686,False,,,131.32151985485106,3.410605131648481e-12
逐时段独立,10.0,65,35260.25817590882,0.3795079901186943,48179.98871413608,26.81555326814884,0.4473305156737384,8.66273311968037,3192.3769876949973,2986.0782534522277,False,,,238.42377640435967,1.8189894035458565e-12
逐时段独立,10.0,66,34971.578244225864,-0.4423109927257036,48022.13692694796,27.17613067193327,-0.5888615742211556,12.984218152459084,3073.2396930222303,3334.417051618447,False,,,285.05781999440126,1.0913936421275139e-11
逐时段独立,10.0,67,34774.151702983254,-1.0043482578885614,47936.885894565654,27.458467411781935,-1.1828457284615235,11.066577357606386,3016.2517871517443,3688.3201601376504,False,,,111.13352553293828,3.410605131648481e-12
逐时段独立,10.0,68,35695.65136142589,1.6189927813648992,48962.40043368316,27.09578973814068,0.977203096072321,10.790082246415489,3740.3906024282724,3260.13422595089,False,,,172.7777402939264,3.637978807091713e-12
逐时段独立,10.0,69,35112.434080710955,-0.04132018053788076,48238.05650223217,27.210097946035283,-0.156828100862616,9.046227963926542,2682.4772671069927,2819.190037998081,False,,,228.73701225384272,2.0463630789890885e-12
逐时段独立,10.0,70,34846.01479470831,-0.7997671752991419,48041.912391356906,27.467469423683134,-0.6434323456616653,8.963697071338688,2628.5933234925205,3070.2045501621806,False,,,291.9623505471432,9.777068044058979e-12
逐时段独立,10.0,71,34654.077078195725,-1.3461787600402824,47768.19134302247,27.453654610145357,-1.5605239048548047,8.018433599602153,2292.8140582015103,3186.551798630956,False,,,141.8453213640472,4.320099833421409e-12
逐时段独立,10.0,72,35320.751608468076,0.5517217319080344,48027.3902317303,26.457066607103123,1.0459617145762712,10.138079435677467,3730.4156936835548,3089.119102224265,False,,,187.55352189579492,1.5916157281026244e-12
逐时段独立,10.0,73,35307.03440870066,0.5126713722428818,48340.41225954074,26.961660527145668,0.32689546710746864,8.226992449526266,3169.3050221381336,2988.8238034285505,False,,,203.76820241405113,6.139089236967266e-12
逐时段独立,10.0,74,36158.55802454315,2.936803412734748,49213.90575349825,26.52776187760122,2.2721427844364595,12.96885971266653,3762.2662078755866,2496.464645118105,False,,,97.02931391755567,3.865352482534945e-12
逐时段独立,10.0,75,35135.580840150986,0.024574411400854035,48699.06921230079,27.851637806506236,-0.23813781968841097,9.574383203417637,3108.1774367035623,3412.7543618597624,False,,,148.79806329915255,8.412825991399586e-12
逐时段独立,10.0,76,35718.227737817055,1.683263597053182,48870.82422245203,26.91298273335129,1.4004910884345412,9.452006413980232,3790.897435612318,3058.269529430509,False,,,212.74020458738195,2.7284841053187847e-12
逐时段独立,10.0,77,34448.97279324077,-1.9300731577424033,47695.917015195824,27.773748888682867,-1.2353688490215897,8.99187583790252,2717.2048035645266,3531.848437485776,False,,,312.82909394004525,9.094947017729282e-12
